username,rating
VariantsBot,2579
Ghost_HunteR2998,2391
ToromBot,2374
PINEAPPLEMASK,2366
NecroMindX,2359
HIWIN1234,2328
TacticalBot,2327
Sooraj_Kumar_P_S,2319
Speeedrunchessgames,2314
Exogenetic-Bot,2305
Yuki_1324,2294
MaggiChess16,2289
NNUE_Drift,2271
Endogenetic-Bot,2258
strain-on-veins,2243
YoBot_v2,2242
DarkOnBot,2239
ResoluteBot,2233
RaspFish,2200
VEER-OMEGA-BOT,2198
InvinxibleFlxsh,2193
eNErGyOFbEiNGbOT,2168
colinbot,1921
DavidsGuterBot,1477
Ukraine-team-creator,1476
DanerdBot,1429
pawnrobot,1186
MinOpponentMoves,928
